Source;ID Name;ID CAS Nr;ID EG Nr;ID EG Annex Nr;EHS S Score;EHS H Score;EHS E Score;EHS Color Code ;Boiling Point  (°C);Melting Point  (°C);Vapour Pressure (25°C mmHg);Flash Point  (°C);Autoignition Temperature  (°C);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Solubility Water (20 °C g/L);Density (25°C  kg/L);Viscosity (25°C  mPa.s);Relative Vapour Density  (Air=1);Log P Octanol Water (20°C);Refractive Index (20°C);Surface Tension (25°C mN/m)
DataType;string;string;string;string;numeric;numeric;numeric;string;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric
Mixed;n-pentane;109-66-0;203-692-4;NAV;8;3;7;FF6347;36;-129.7;51.38;-49.4;260;14.5;0;0;0.041;0.63;0.22;2.5;3.39;1.358;15.49
PARIS III;hexane;110-54-3;203-777-6;NAV;8;7;7;FF6347;68.7;-95.3;150.76;-11.82;223;14.9;0;0;0.013;0.66;0.3;2.97;4.11;1.375;17.88
PARIS III;heptane;142-82-5;205-563-8;NAV;6;2;7;FFD700;98.5;-90.6;46.05;-1.1;215;15.3;0;0;0.0022;0.7;0.39;3.5;4.66;1.388;19.65
DNCP;Diisopropyl ether;108-20-3;204-881-4;NAV;9;3;5;FF6347;68;-86.8;149.26;-29;405;15.1;3.2;3.2;9;0.7192;0.38;3.5;1.52;1.368;17.34
PARIS III;Diethyl ether;60-29-7;200-467-2;NAV;10;3;7;FF6347;34.6;-116.3;537.04;-45;160;14.5;2.9;4.6;69;0.73;0.22;2.55;0.82;1.352;16.65
PARIS III;Methyl tetrahydrofuran, 2-;96-47-9;202-507-4;NAV;6;5;3;FFD700;78;-136;102;-11;270;16.9;5;4.3;150;0.86;0.473;2.5;1.1853;1.405;26.41
Mixed;tetrahydrofuran;109-99-9;203-726-8;603-025-00-0;6;7;5;FFD700;66;-108.4;162.01;-14;321;16.8;5.7;8;1000;0.8833;0.456;2.5;0.45;1.41;26.32
DNCP;MTBE;1634-04-4;216-653-1;NAV;8;3;5;FF6347;54;-110;204;-28;224;14.8;4.3;5;51;0.7353;0.44;3.23;1.06;1.369;20.43
PARIS III;cyclopentyl methyl ether;5614-37-9;NAV;NAV;7;2;5;FFD700;106;-140;31.88;-1;180;16.7;4.3;4.3;11;0.88;0.55;3.45;1.59;1.421;25.86
PARIS III;chloroform;67-66-3;200-663-8;NAV;2;7;5;FF6347;61.1;-63.6;197.01;31.05;624;17.8;3.1;5.7;7.95;1.48;0.54;4.12;1.97;1.446;26.67
PARIS III;Dichloroethane;107-06-2;203-458-1;NAV;4;10;3;FF6347;83.5;-35.5;78.76;15.6;440;18;7.4;4.1;8.7;1.17;0.78;3.4;1.45;1.445;31.86
PARIS III;Carbon tetrachloride;56-23-5;NAV;NAV;2;7;10;FF6347;76.8;-23;114.76;23.2;982;17.8;0;0.6;0.7934;1.7;0.91;5.3;2.83;1.457;26.43
Chemtec Solvent Database;Dichloromethane;75-09-2;NAV;NAV;1;7;7;FF6347;39.6;-94.92;435.04;-4;605;17;7.3;7.1;13.03;1.326;0.41;2.93;1.25;1.4242;27.2
Mixed;dimethylformamide;68-12-2;200-679-5;616-001-00-x;3;9;5;FF6347;153;-61;3.87;58;445;17.4;13.7;11.3;1000;0.9445;0.794;2.5;-1.028;1.4305;34.935424
Mixed;N-methyl pyrrolidone;872-50-4;212-828-1;606-021-00-7;1;9;7;FF6347;202;-24;0.35;91;269;18;12.3;7.2;1000;1.023;1.666;3.4;-0.46;1.4684;40.7
Mixed;dimethylacetamide;127-19-5;204-826-4;NAV;1;9;5;FF6347;165;-20;2;66;490;16.8;11.5;9.4;1000;0.9372;1.927;3.02;0.8;1.4379;32.43
PARIS III;Acetonitrile;75-05-8;200-835-2;NAV;4;3;3;FFD700;81.6;-43.8;88.51;2;525;15.3;18;6.1;1000;0.79;0.36;1.42;-0.34;1.344;28.66
Mixed;pyridine;110-86-1;203-809-9;NAV;4;2;3;FF6347;115.2;-41.6;20.78;17;482;19;8.8;5.9;1000;0.98;0.89;2.73;0.65;1.51;36.56
PARIS III;Triethylamine;121-44-8;204-469-4;NAV;6;7;3;FF6347;89.3;-114.7;57.15;-0.91;215;15.5;0.4;1;133;0.75;20.14;3.5;1.45;1.401;20.22
PARIS III;benzene;71-43-2;NAV;NAV;6;10;3;FF6347;80;5.5;94.51;-11;498;18.4;0;2;1.79;0.87;0.61;2.77;2.13;1.4979;28.22
PARIS III;toluene;108-88-3;203-625-9;NAV;5;6;3;FFD700;110.6;-94.9;28.35;10;535;18;1.4;2;0.5;0.87;0.55;3.1;2.65;1.4961;27.93
PARIS III;1,4-dioxane;123-91-1;204-661-8;NAV;6;6;3;FFD700;101.5;11.8;38.1;12.2;355;17.5;1.8;9;431;1;1.19;3;-0.42;1.4224;32.75
Mixed;ethylacetate;141-78-6;205-500-4;607-022-00-5;5;3;3;9ACD32;75;-83.5;93.01;-4;427;15.8;5.3;7.2;80;0.895;0.423;3.04;0.6;1.3723;23.9
