SOM RESULTS;dataset naam: datasetqframe; Gegenereerd op: 17/05/2017 15:53:28
Parameter description;Parameter value;number of clusters
 learning rate step ;0,001;4
 learning rate step ;0,0909;4
 learning rate step ;0,1808;4
 learning rate step ;0,2707;4
 learning rate step ;0,3606;4
 learning rate step ;0,4505;4
 learning rate step ;0,5404;4
 learning rate step ;0,6303;4
 learning rate step ;0,7202;4
 learning rate step ;0,8101;4
 learning rate step ;0,9;4
height ;2;4
height ;3;6
height ;4;8
height ;5;10
height ;6;12
height ;7;14
height ;8;16
height ;9;18
height ;10;20
height ;11;22
height ;12;24
height ;13;26
height ;14;28
height ;15;30
height ;16;32
height ;17;34
height ;18;36
height ;19;38
height ;20;40
width ;2;4
width ;3;6
width ;4;8
width ;5;10
width ;6;12
width ;7;14
width ;8;16
width ;9;18
width ;10;20
width ;11;22
width ;12;24
width ;13;26
width ;14;28
width ;15;30
width ;16;32
width ;17;34
width ;18;36
width ;19;38
width ;20;40
